   INFO 10:49:18,332 - START

[GEN_DM]   INFO 10:49:18,387 - Reading XML configuration ...
[GEN_DM]   INFO 10:49:18,389 - Created OBJECT FACTORY of class : com.eurodecision.gendm.model.GenDmObjectFactory
[GEN_DM]   INFO 10:49:18,392 - Created PARSER of class : com.eurodecision.gendm.parser.text.GenDmTextFileParser
[GEN_DM]   INFO 10:49:18,399 - Created GENERATOR of class : com.eurodecision.gendm.generator.dummy.GenDmDummyGenerator
[GEN_DM]  DEBUG 10:49:18,406 - [PrettyPrinter] Adding entity generator 'com.eurodecision.gendm.generator.prettyprint.GenDmObjectPrettyPrinter' for model entity 'com.eurodecision.gendm.model.GenDmObject' ...
[GEN_DM]  DEBUG 10:49:18,407 - [PrettyPrinter] Adding entity generator 'com.eurodecision.gendm.generator.prettyprint.ProjectEntityPrettyPrinter' for model entity 'com.eurodecision.gendm.model.GenDmProject' ...
[GEN_DM]  DEBUG 10:49:18,407 - [PrettyPrinter] Adding entity generator 'com.eurodecision.gendm.generator.prettyprint.ClassEntityPrettyPrinter' for model entity 'com.eurodecision.gendm.model.GenDmClass' ...
[GEN_DM]  DEBUG 10:49:18,408 - [PrettyPrinter] Adding entity generator 'com.eurodecision.gendm.generator.prettyprint.ExternClassEntityPrettyPrinter' for model entity 'com.eurodecision.gendm.model.GenDmExternClass' ...
[GEN_DM]  DEBUG 10:49:18,409 - [PrettyPrinter] Adding entity generator 'com.eurodecision.gendm.generator.prettyprint.AttributeEntityPrettyPrinter' for model entity 'com.eurodecision.gendm.model.GenDmAttribute' ...
[GEN_DM]  DEBUG 10:49:18,410 - [PrettyPrinter] Adding entity generator 'com.eurodecision.gendm.generator.prettyprint.ConstructorEntityPrettyPrinter' for model entity 'com.eurodecision.gendm.model.GenDmClassConstructor' ...
[GEN_DM]  DEBUG 10:49:18,410 - [PrettyPrinter] Adding entity generator 'com.eurodecision.gendm.generator.prettyprint.PropertyEntityPrettyPrinter' for model entity 'com.eurodecision.gendm.model.GenDmClassProperty' ...
[GEN_DM]  DEBUG 10:49:18,411 - [PrettyPrinter] Adding entity generator 'com.eurodecision.gendm.generator.prettyprint.IdPropertyEntityPrettyPrinter' for model entity 'com.eurodecision.gendm.model.GenDmClassIdProperty' ...
[GEN_DM]  DEBUG 10:49:18,411 - [PrettyPrinter] Adding entity generator 'com.eurodecision.gendm.generator.prettyprint.SortOnPropertyEntityPrettyPrinter' for model entity 'com.eurodecision.gendm.model.GenDmClassSortOnProperty' ...
[GEN_DM]   INFO 10:49:18,411 - Created GENERATOR of class : com.eurodecision.gendm.generator.prettyprint.GenDmPrettyPrinter
[GEN_DM]   INFO 10:49:18,412 - Created GENERATOR of class : com.eurodecision.gendm.generator.ExternClassGenerator
[GEN_DM]  DEBUG 10:49:18,413 - [SuperClassConsistencyGenerator] Adding entity generator 'com.eurodecision.gendm.generator.consistency.GenDmObjectConsistencyGenerator' for model entity 'com.eurodecision.gendm.model.GenDmObject' ...
[GEN_DM]  DEBUG 10:49:18,414 - [SuperClassConsistencyGenerator] Adding entity generator 'com.eurodecision.gendm.generator.consistency.ExternClassConsistencyGenerator' for model entity 'com.eurodecision.gendm.model.GenDmExternClass' ...
[GEN_DM]  DEBUG 10:49:18,416 - [SuperClassConsistencyGenerator] Adding entity generator 'com.eurodecision.gendm.generator.consistency.ClassConsistencyGenerator' for model entity 'com.eurodecision.gendm.model.GenDmClass' ...
[GEN_DM]   INFO 10:49:18,417 - Created GENERATOR of class : com.eurodecision.gendm.generator.consistency.GenDmConsistencyVisitorGenerator
[GEN_DM]  DEBUG 10:49:18,419 - [ConsistencyGenerator] Adding entity generator 'com.eurodecision.gendm.generator.consistency.GenDmObjectConsistencyGenerator' for model entity 'com.eurodecision.gendm.model.GenDmObject' ...
[GEN_DM]  DEBUG 10:49:18,420 - [ConsistencyGenerator] Adding entity generator 'com.eurodecision.gendm.generator.consistency.ClassConstructorConsistencyGenerator' for model entity 'com.eurodecision.gendm.model.GenDmClassConstructor' ...
[GEN_DM]  DEBUG 10:49:18,422 - [ConsistencyGenerator] Adding entity generator 'com.eurodecision.gendm.generator.consistency.AttributeConsistencyGenerator' for model entity 'com.eurodecision.gendm.model.GenDmAttribute' ...
[GEN_DM]  DEBUG 10:49:18,423 - [ConsistencyGenerator] Adding entity generator 'com.eurodecision.gendm.generator.consistency.IdPropertyConsistencyGenerator' for model entity 'com.eurodecision.gendm.model.GenDmClassIdProperty' ...
[GEN_DM]  DEBUG 10:49:18,423 - [ConsistencyGenerator] Adding entity generator 'com.eurodecision.gendm.generator.consistency.SortOnPropertyConsistencyGenerator' for model entity 'com.eurodecision.gendm.model.GenDmClassSortOnProperty' ...
[GEN_DM]  DEBUG 10:49:18,424 - [ConsistencyGenerator] Adding entity generator 'com.eurodecision.gendm.generator.consistency.AttributeTypeSimpleConsistencyGenerator' for model entity 'com.eurodecision.gendm.model.GenDmAttributeSimpleType' ...
[GEN_DM]  DEBUG 10:49:18,425 - [ConsistencyGenerator] Adding entity generator 'com.eurodecision.gendm.generator.consistency.AttributeTypeReferenceConsistencyGenerator' for model entity 'com.eurodecision.gendm.model.GenDmAttributeReferenceType' ...
[GEN_DM]  DEBUG 10:49:18,426 - [ConsistencyGenerator] Adding entity generator 'com.eurodecision.gendm.generator.consistency.AttributeTypeListConsistencyGenerator' for model entity 'com.eurodecision.gendm.model.GenDmAttributeListType' ...
[GEN_DM]  DEBUG 10:49:18,427 - [ConsistencyGenerator] Adding entity generator 'com.eurodecision.gendm.generator.consistency.AttributeTypeMapConsistencyGenerator' for model entity 'com.eurodecision.gendm.model.GenDmAttributeMapType' ...
[GEN_DM]   INFO 10:49:18,427 - Created GENERATOR of class : com.eurodecision.gendm.generator.consistency.GenDmConsistencyVisitorGenerator
[GEN_DM]  DEBUG 10:49:18,429 - [AutoLinkGenerator] Adding entity generator 'com.eurodecision.gendm.generator.consistency.links.GenDmObjectAutoLinkGenerator' for model entity 'com.eurodecision.gendm.model.GenDmObject' ...
[GEN_DM]  DEBUG 10:49:18,430 - [AutoLinkGenerator] Adding entity generator 'com.eurodecision.gendm.generator.consistency.links.ClassOwnerAutoLinkGenerator' for model entity 'com.eurodecision.gendm.model.GenDmClass' ...
[GEN_DM]  DEBUG 10:49:18,433 - [AutoLinkGenerator] Adding entity generator 'com.eurodecision.gendm.generator.consistency.links.ChainOnAutoTargetListsGenerator' for model entity 'com.eurodecision.gendm.model.GenDmAttribute' ...
[GEN_DM]   INFO 10:49:18,434 - Created GENERATOR of class : com.eurodecision.gendm.generator.consistency.links.GenDmAutoLinkGenerator
[GEN_DM]  DEBUG 10:49:18,436 - [SerializerConsistencyGenerator] Adding entity generator 'com.eurodecision.gendm.generator.DoNothingGenDmVisitorObjectGenerator' for model entity 'com.eurodecision.gendm.model.GenDmObject' ...
[GEN_DM]  DEBUG 10:49:18,439 - [SerializerConsistencyGenerator] Adding entity generator 'com.eurodecision.gendm.generator.consistency.serializer.SerializerClassConsistencyGenerator' for model entity 'com.eurodecision.gendm.model.GenDmSerializerClass' ...
[GEN_DM]   INFO 10:49:18,439 - Created GENERATOR of class : com.eurodecision.gendm.generator.consistency.serializer.SerializerConsistencyVisitorGenerator
[GEN_DM]  DEBUG 10:49:18,443 - [C++Generator] Adding entity generator 'com.eurodecision.gendm.generator.code.cpp.GenDmCppClassGenerator' for model entity 'com.eurodecision.gendm.model.GenDmClass' ...
[GEN_DM]  DEBUG 10:49:18,444 - [C++Generator] Adding entity generator 'com.eurodecision.gendm.generator.code.cpp.GenDmCppConstructorGenerator' for model entity 'com.eurodecision.gendm.model.GenDmClassConstructor' ...
[GEN_DM]  DEBUG 10:49:18,446 - [C++Generator] Adding entity generator 'com.eurodecision.gendm.generator.code.cpp.GenDmCppAttributeGenerator' for model entity 'com.eurodecision.gendm.model.GenDmAttribute' ...
[GEN_DM]  DEBUG 10:49:18,447 - [C++Generator] Adding entity generator 'com.eurodecision.gendm.generator.code.cpp.GenDmCppSortOnPropertyGenerator' for model entity 'com.eurodecision.gendm.model.GenDmClassSortOnProperty' ...
[GEN_DM]  DEBUG 10:49:18,455 - [C++Generator] Adding entity generator 'com.eurodecision.gendm.generator.code.cpp.serializer.GenDmCppMainSerializerClassGenerator' for model entity 'com.eurodecision.gendm.model.GenDmSerializerClass' ...
[GEN_DM]  DEBUG 10:49:18,460 - [C++Generator] Adding entity generator 'com.eurodecision.gendm.generator.code.cpp.serializer.GenDmCppObjectSerializerClassGenerator' for model entity 'com.eurodecision.gendm.model.GenDmClassSerializerClass' ...
[GEN_DM]  DEBUG 10:49:18,461 - [C++Generator] Adding entity generator 'com.eurodecision.gendm.generator.code.cpp.GenDmCppEnumClassGenerator' for model entity 'com.eurodecision.gendm.model.GenDmEnumClass' ...
[GEN_DM]  DEBUG 10:49:18,496 - [C++Generator] Setting custom namesFactory 'com.eurodecision.gendm.generator.code.GenDmCodeNamesFactory' ...
[GEN_DM]  DEBUG 10:49:18,514 - [C++Generator] Setting custom typeSolver 'com.eurodecision.gendm.generator.code.cpp.GenDmCppTypeSolver' ...
[GEN_DM]   INFO 10:49:18,523 - Created GENERATOR of class : com.eurodecision.gendm.generator.code.cpp.GenDmCppVisitorGenerator
[GEN_DM]   INFO 10:49:18,526 - Created GENERATOR of class : com.eurodecision.gendm.generator.code.cpp.serializer.jsd.GenDmOpenAPIGenerator
[GEN_DM]   INFO 10:49:18,527 - Created GENERATOR of class : com.eurodecision.gendm.generator.plantuml.GenDmPlantUmlClassDiagramGenerator
[GenDmTextFileParser]   INFO 10:49:18,528 - Parse input file : /home/simon/dev/c/cfl-lpsp/conception/modeleBO.gendm
[GenDmTextFileParser]  DEBUG 10:49:18,560 - LEXER >> Comment Line Start
[GenDmTextFileParser]  DEBUG 10:49:18,560 - LEXER >> [COMMENT_LINE] : ============================ ReadMe ==============================
[GenDmTextFileParser]  DEBUG 10:49:18,561 - LEXER >> Comment Line Start
[GenDmTextFileParser]  DEBUG 10:49:18,561 - LEXER >> [COMMENT_LINE] : Les noms de classe doivent etre en anglais
[GenDmTextFileParser]  DEBUG 10:49:18,561 - LEXER >> Comment Line Start
[GenDmTextFileParser]  DEBUG 10:49:18,561 - LEXER >> [COMMENT_LINE] : Les attributs de type conteneur doivent etre prefixe
[GenDmTextFileParser]  DEBUG 10:49:18,561 - LEXER >> Comment Line Start
[GenDmTextFileParser]  DEBUG 10:49:18,561 - LEXER >> [COMMENT_LINE] : eg. VECTOR POINTER Toto vecToto ou MAP POINTER Toto mapToto
[GenDmTextFileParser]  DEBUG 10:49:18,561 - LEXER >> Comment Line Start
[GenDmTextFileParser]  DEBUG 10:49:18,562 - LEXER >> [COMMENT_LINE] : ==================================================================
[GenDmTextFileParser]  DEBUG 10:49:18,562 - LEXER >> Comment Line Start
[GenDmTextFileParser]  DEBUG 10:49:18,562 - LEXER >> [COMMENT_LINE] : ============================ Project ==============================
[GenDmTextFileParser]  DEBUG 10:49:18,562 - LEXER >> [APPLICATION] : APPLICATION
[GenDmTextFileParser]  DEBUG 10:49:18,562 - LEXER >> [CLASS_NAME] : CFL
[GenDmTextFileParser]  DEBUG 10:49:18,562 - LEXER >> [DESCRIPTION] : CFL application for LPSP
[GenDmTextFileParser]  DEBUG 10:49:18,563 - LEXER >> [DEFAULT_PROPERTIES] : DEFAULT PROPERTIES
[GenDmTextFileParser]  DEBUG 10:49:18,563 - LEXER >> [NO_BASE_CLASS] : NO_BASE_CLASS
[GenDmTextFileParser]  DEBUG 10:49:18,563 - LEXER >> [NO_VIRTUAL] : NO_VIRTUAL
[GenDmTextFileParser]  DEBUG 10:49:18,564 - LEXER >> [NO_ENUM_PREFIX] : NO_ENUM_PREFIX
[GenDmTextFileParser]  DEBUG 10:49:18,564 - LEXER >> [END_DEFAULT_PROPERTIES] : END DEFAULT PROPERTIES
[GenDmTextFileParser]  DEBUG 10:49:18,564 - LEXER >> Comment Line Start
[GenDmTextFileParser]  DEBUG 10:49:18,564 - LEXER >> [COMMENT_LINE] : ============================ Main Session ==============================
[GenDmTextFileParser]  DEBUG 10:49:18,564 - LEXER >> [SESSION] : SESSION
[GenDmTextFileParser]  DEBUG 10:49:18,565 - LEXER >> [POINTER] : POINTER
[GenDmTextFileParser]  DEBUG 10:49:18,565 - LEXER >> [CLASS_NAME] : SessionInDTO
[GenDmTextFileParser]  DEBUG 10:49:18,565 - LEXER >> [ATT_NAME] : sessionInDTO
[GenDmTextFileParser]  DEBUG 10:49:18,566 - LEXER >> [NO_INIT] : NO_INIT
[GenDmTextFileParser]  DEBUG 10:49:18,566 - LEXER >> [CREATE] : CREATE
[GenDmTextFileParser]  DEBUG 10:49:18,566 - LEXER >> [POINTER] : POINTER
[GenDmTextFileParser]  DEBUG 10:49:18,566 - LEXER >> [CLASS_NAME] : SessionOutDTO
